date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Dec%202023%2014:49:09%20GMT	http://df.webontwerp.ucll.be/robots.txt		(from )
15:49:09	996/996	---M-Z	200	added ('OK')	text/html	etag:%223e4-606cb58a0df99-gzip%22	http://df.webontwerp.ucll.be/	C:/Code/School/DF/Database/df.webontwerp.ucll.be/index.html	(from )
15:49:09	10379/10379	---M-Z	200	added ('OK')	text/css	etag:%22288b-607e8cd1a581b-gzip%22	http://df.webontwerp.ucll.be/assets/styles/stijl.css	C:/Code/School/DF/Database/df.webontwerp.ucll.be/assets/styles/stijl.css	(from http://df.webontwerp.ucll.be/)
15:49:09	556/556	---M-Z	200	added ('OK')	text/css	etag:%2222c-606cb592581f4-gzip%22	http://df.webontwerp.ucll.be/_astro/index.2d393956.css	C:/Code/School/DF/Database/df.webontwerp.ucll.be/_astro/index.2d393956.css	(from http://df.webontwerp.ucll.be/)
15:49:10	5750/5750	---M-Z	200	added ('OK')	text/html	etag:%221676-607e8da0fc4f3-gzip%22	http://df.webontwerp.ucll.be/NL/	C:/Code/School/DF/Database/df.webontwerp.ucll.be/NL/index.html	(from http://df.webontwerp.ucll.be/)
15:49:10	5316/5316	---M-Z	200	added ('OK')	text/html	etag:%2214c4-60c2691ae4741-gzip%22	http://df.webontwerp.ucll.be/EN/	C:/Code/School/DF/Database/df.webontwerp.ucll.be/EN/index.html	(from http://df.webontwerp.ucll.be/)
15:49:10	548/548	---M--	200	added ('OK')	image/svg+xml	etag:%22224-607e8cc5754ad%22	http://df.webontwerp.ucll.be/assets/edit-03-svgrepo-com.svg	C:/Code/School/DF/Database/df.webontwerp.ucll.be/assets/edit-03-svgrepo-com.svg	(from http://df.webontwerp.ucll.be/assets/styles/stijl.css)
15:49:10	1510/1510	---M--	200	added ('OK')	image/svg+xml	etag:%225e6-607e8cc5502e8%22	http://df.webontwerp.ucll.be/assets/information-info-svgrepo-com.svg	C:/Code/School/DF/Database/df.webontwerp.ucll.be/assets/information-info-svgrepo-com.svg	(from http://df.webontwerp.ucll.be/assets/styles/stijl.css)
15:49:10	1074/1074	---M--	200	added ('OK')	image/svg+xml	etag:%22432-607e8cc55be6a%22	http://df.webontwerp.ucll.be/assets/triangle-danger-f-svgrepo-com.svg	C:/Code/School/DF/Database/df.webontwerp.ucll.be/assets/triangle-danger-f-svgrepo-com.svg	(from http://df.webontwerp.ucll.be/assets/styles/stijl.css)
15:49:11	1088/1088	---M-Z	200	added ('OK')	text/css	etag:%22637f251b-1d9%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/11.7.0/styles/vs2015.min.css	C:/Code/School/DF/Database/cdnjs.cloudflare.com/ajax/libs/highlight.js/11.7.0/styles/vs2015.min.css	(from http://df.webontwerp.ucll.be/NL/)
